xid        iau_name           ra       dec    poserr  s0520         s_err0520    cts_0520 cts_err_0520  L_0520  bkg_cts_0520  exptime_0520  s210          s_err210      cts_210  cts_err_210  L_210   bkg_cts_210  exptime_210  s510          s_err510      cts_510  cts_err_510 L_510   bkg_cts_510  exptime_510 
      1  XMMU_J100025.2+015850 150.105148  1.980817     0.91          13.90           0.18     6585             83 21523.60           0.80          45.45          22.80           0.70      2210            49  4907.39          0.95         46.96          12.20           0.55       625           27   900.04          0.77         42.48
      2  XMMU_J095857.4+021313 149.739190  2.220533     0.93          10.50           0.18     3875             66 10997.10           1.10          35.34          21.10           0.72      1588            39  3025.70          1.79         36.55          10.70           0.62       406           23   475.59          1.34         31.43
      3  XMMU_J095902.7+021906 149.761543  2.318492     0.90          15.00           0.17     8621             99 24524.90           2.00          54.87          25.80           0.73      2924            61  5132.74          2.91         55.05          14.20           0.60       783           33   874.38          2.25         45.66
      4  XMMU_J095858.6+021458 149.744181  2.249476     0.97           7.84           0.17     2561             55  6838.14           1.12          31.25          15.90           0.79      1066            39  1797.82          1.82         32.59           9.56           0.69       317           22   359.37          1.37         27.54
      5  XMMU_J095918.7+020951 149.828190  2.164208     0.93           7.28           0.12     4014             63 10945.70           1.44          52.77          14.80           0.50      1645            40  2852.41          2.16         53.96           7.54           0.36       433           20   457.84          1.67         47.68
      6  XMMU_J100043.1+020636 150.179776  2.110154     0.96           3.82           0.08     2966             59  6275.14           2.05          74.30           6.08           0.33       922            36   998.00          2.94         73.67           2.87           0.28       214           20    96.60          2.34         61.92
      7  XMMU_J100205.0+023730 150.521077  2.625247     0.91           9.66           0.13     5673             77 15117.20           1.71          56.17          18.90           0.61      2197            52  3494.22          2.45         56.31          10.10           0.52       561           28   494.73          1.95         45.94
      8  XMMU_J100012.9+023522 150.053830  2.589670     0.98           5.78           0.12     2669             54  6651.50           1.11          44.17           5.40           0.39       490            26   535.94          1.59         44.03           1.94           0.31        88           14    32.45          1.32         37.61
      9  XMMU_J095940.7+021938 149.919828  2.327475     1.00           2.83           0.07     1905             47  3579.35           1.45          64.42           4.70           0.30       617            28   601.44          1.98         63.77           2.22           0.27       144           17    51.55          1.67         54.12
     10  XMMU_J095939.0+021201 149.912607  2.200321     1.03           2.72           0.08     1333             38  2763.96           1.02          46.91           2.21           0.25       220            18   195.79          1.33         48.52           1.09           0.24        55           12    14.53          1.08         42.44
     11  XMMU_J100034.8+020234 150.145317  2.042825     1.04           2.05           0.06     1307             38  2411.44           1.50          60.94           2.89           0.20       362            19   332.76          2.04         61.00           1.72           0.26       110           16    46.34          1.65         53.07
